Title,Published_date,Views,Likes,Comments,Month
Collision Course: Sports Betting + Data Science,2019-12-20,15126,448,26,Dec
3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100063,2929,207,Dec
5 Sports Analytics Books to Get You Started,2019-12-13,9706,364,57,Dec
Math Needed for Mastering Data Science,2019-12-09,54790,2809,225,Dec
The 5 Stages of Data Science Adoption,2019-12-06,1262,67,17,Dec
How YOU Can Land a Sports Analytics Job,2019-12-02,63849,2857,225,Dec
Data Science Fundamentals: Linear Regression,2019-11-29,6007,164,41,Nov
Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,945,46,12,Nov
Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5461,250,26,Nov
9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,45078,1723,80,Nov
Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5856,136,31,Nov
Why Selling Is An Important Data Science Skill,2019-11-04,1574,76,13,Nov
By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2666,70,18,Oct
Why is Balance Important in Data Science?,2019-10-16,684,32,13,Oct
How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11462,578,54,Sep
How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3453,109,31,Sep
6 Habits of Successful Data Scientists,2019-09-13,2105,91,17,Sep
How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3866,93,9,Sep
Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,517,24,29,Aug
Is Data Science Right For You?,2019-08-18,49007,1141,109,Aug
Data Science Fundamentals: Data Cleaning in Python,2019-08-11,13859,378,53,Aug
How To Get Data Science Experience (Without a Job),2019-08-08,28457,1350,75,Aug
Take Your Data Science Projects From Good to Great,2019-08-05,1565,107,11,Aug
The Projects You Should Do To Get A Data Science Job,2019-07-30,145570,5596,252,Jul
What Does a Data Scientist Actually Do?,2019-07-19,34166,1156,80,Jul
Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12339,340,42,Jul
Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,16861,506,61,Jul
Data Science: Pros and Cons,2019-06-30,4987,210,18,Jun
How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,23361,1143,89,Jun
My Top 5 Data Science Internship Tips,2019-06-15,11204,467,19,Jun
Golf STATS: Strokes Gained Explained,2019-06-07,6480,136,28,Jun
Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,599,44,5,May
What I Learned From My Three Degrees,2019-05-17,1219,60,12,May
I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25400,1058,67,May
NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1195,40,2,May
Should You Learn R for Data Science?,2019-04-25,19378,534,69,Apr
Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,45763,842,336,Apr
Work From Home Data Scientist: Day in the Life,2019-04-12,27902,759,103,Apr
Where to Look for Data Science Jobs,2019-03-29,2962,120,9,Mar
Data Science: Startup vs. Large Corporation,2019-03-21,2040,72,4,Mar
"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5861,165,25,Mar
Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4059,177,15,Mar
Why You DON'T Want to be a WFH Data Scientist,2019-03-03,774,32,12,Mar
Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1371,35,8,Mar
Where YOU Should Start With Data Science Projects,2019-02-19,14903,312,17,Feb
Watch This Before Applying to Data Science Jobs,2019-02-04,1462,64,13,Feb
My Top 5 Data Science Resources for 2019,2019-01-05,3641,119,17,Jan
IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,814,36,6,Dec
The Best Way to Predict NBA Minutes Played,2018-12-11,3907,103,14,Dec
Demystifying Data Science Roles,2018-11-30,1109,52,5,Nov
How to Simulate NBA Games in Python,2018-11-19,16670,377,54,Nov
Should You Get A Masters in Data Science?,2018-11-14,20262,304,141,Nov
How I Became A Data Scientist From a Business Background,2018-11-12,6265,191,23,Nov
Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8253,189,17,Jul
Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18398,285,41,Nov
